loc_id,lat,lon,pop
3115706,-18.783543478699997,-41.286199874299996,7046
3116001,-20.012367963800003,-41.692286182800004,5699
3136009,-16.7602664359,-41.0442286735,15455
3137700,-20.117862421433333,-41.629966254733326,19918
3139607,-18.685014356849997,-41.0564491733,27647
3144003,-19.908413592275,-41.4334468951125,26961
3144300,-17.7943489641,-40.5465531305,40665
3144672,-18.4855608738,-41.062748697299995,3128
3145356,-17.313187622399997,-41.1972899381,10778
3146206,-18.069339095,-41.2687094923,5914
3162575,-18.725044320033334,-41.158908116266666,5918
3166709,-17.750222633233335,-40.2553836501,8713
3168051,-19.743681374700003,-41.5905677961,3101
3200102,-20.1068329346,-41.121026689287504,30455
3200136,-18.9408861569,-40.779341795899995,9631
3200169,-18.5118166794,-41.010713660657146,10909
3200300,-20.568237747899996,-40.80784711367143,14636
3200409,-20.72829533745,-40.6955444218,29779
3200607,-19.80186916624,-40.175308678289994,103101
3201001,-18.5053541179,-40.333508342020004,15092
3201159,-20.116942859916666,-41.278794483266665,12427
3201308,-20.31817846465,-40.39015642405,383917
3201407,-20.578561123116668,-41.1842329777,37747
3201605,-18.482249062950004,-39.8252750815,31273
3201704,-20.34189250395,-41.23430054095,12806
3201902,-20.328255852119998,-40.7754655136,33986
3202108,-18.30412469546154,-40.80570667341538,22835
3202207,-19.97780110795,-40.36387549365,21948
3202256,-19.213331611325,-40.506377451625,12880
3202405,-20.574933030325,-40.55517969544999,126701
3202504,-19.8488496657,-40.3888499107,12591
3202603,-20.760429712475002,-40.844248586700004,13973
3202702,-19.715943026174997,-40.828564963425,14023
3202900,-19.8892280124,-40.88739739975,10494
3203056,-18.92669706152,-40.0386401573,31039
3203106,-20.7976978983,-41.4029345745,12265
3203130,-19.713369785842854,-40.40504033104286,16722
3203163,-19.88859629121667,-41.03005747268333,10933
3203205,-19.44179774700909,-40.06244840381818,176688
3203346,-20.453184660433333,-40.7438319416,16920
3203502,-18.1418749412,-40.2681139426,18894
3203601,-18.012182903775,-40.526566542924996,5496
3203700,-20.4283872407125,-41.4316087474625,17319
3203809,-20.925898130649998,-41.3081993934,15526
3203908,-18.70765125005555,-40.570610950344445,50434
3204005,-19.1193921655,-40.8345315656,23306
3204054,-18.169752075325,-40.073677492200005,26381
3204104,-18.3869079979,-40.178725592075,27327
3204203,-20.848681066750004,-40.743738345,22053
3204252,-18.19161411545,-40.5254438376,7940
3204351,-19.20011790485,-40.3413023424,19271
3204401,-20.7823490119,-40.9318367115,11626
3204500,-20.096501164299998,-40.49027799993333,12197
3204559,-20.0627809906375,-40.760427579875,41015
3204609,-19.86701616721667,-40.67554134146666,23724
3204658,-19.14816851,-40.6218777327,8687
3204708,-18.946509350099998,-40.49511254066667,38522
3204906,-18.68255656038333,-40.017763901008344,132642
3204955,-19.7349564397,-40.6602724162,12510
3205002,-20.115929351414284,-40.30205539271429,527240
3205010,-19.147982472933332,-40.1439390302,30680
3205036,-20.645531671066664,-41.02486230877778,21591
3205069,-20.3591912798,-41.14091359336666,25745
3205101,-20.425109083966667,-40.483441610199996,79500
3205150,-18.584768110033334,-40.6358441162,9244
3205176,-18.94562370706667,-40.3344516434,14073
3205200,-20.357124635159998,-40.33445049756,501325
